Potential/V, Current/A
3.609,2.83E-06
3.61,2.84E-06
3.611,2.84E-06
3.612,2.84E-06
3.613,2.85E-06
3.614,2.83E-06
3.615,2.84E-06
3.616,2.84E-06
3.617,2.83E-06
3.618,2.84E-06
3.619,2.85E-06
3.62,2.85E-06
3.621,2.86E-06
3.622,2.85E-06
3.623,2.84E-06
3.624,2.86E-06
3.625,2.88E-06
3.626,2.87E-06
3.627,2.88E-06
3.628,2.88E-06
3.629,2.87E-06
3.63,2.88E-06
3.631,2.89E-06
3.632,2.90E-06
3.633,2.90E-06
3.634,2.90E-06
3.635,2.90E-06
3.636,2.92E-06
3.637,2.93E-06
3.638,2.92E-06
3.639,2.91E-06
3.64,2.92E-06
3.641,2.93E-06
3.642,2.95E-06
3.643,2.94E-06
3.644,2.95E-06
3.645,2.95E-06
3.646,2.96E-06
3.647,2.95E-06
3.648,2.97E-06
3.649,2.97E-06
3.65,2.95E-06
3.651,2.98E-06
3.652,2.99E-06
3.653,2.99E-06
3.654,3.00E-06
3.655,2.99E-06
3.656,3.01E-06
3.657,3.00E-06
3.658,3.02E-06
3.659,3.03E-06
3.66,3.02E-06
3.661,3.02E-06
3.662,3.03E-06
3.663,3.04E-06
3.664,3.04E-06
3.665,3.05E-06
3.666,3.05E-06
3.667,3.05E-06
3.668,3.03E-06
3.669,3.05E-06
3.67,3.04E-06
3.671,3.04E-06
3.672,3.04E-06
3.673,3.03E-06
3.674,3.03E-06
3.675,3.04E-06
3.676,3.03E-06
3.677,3.05E-06
3.678,3.05E-06
3.679,3.04E-06
3.68,3.05E-06
3.681,3.07E-06
3.682,3.04E-06
3.683,3.05E-06
3.684,3.04E-06
3.685,3.04E-06
3.686,3.04E-06
3.687,3.03E-06
3.688,3.04E-06
3.689,3.05E-06
3.69,3.05E-06
3.691,3.05E-06
3.692,3.04E-06
3.693,3.06E-06
3.694,3.05E-06
3.695,3.05E-06
3.696,3.08E-06
3.697,3.07E-06
3.698,3.06E-06
3.699,3.09E-06
3.7,3.08E-06
3.701,3.09E-06
3.702,3.10E-06
3.703,3.10E-06
3.704,3.13E-06
3.705,3.12E-06
3.706,3.12E-06
3.707,3.11E-06
3.708,3.13E-06
3.709,3.15E-06
3.71,3.14E-06
3.711,3.16E-06
3.712,3.16E-06
3.713,3.18E-06
3.714,3.17E-06
3.715,3.20E-06
3.716,3.18E-06
3.717,3.19E-06
